model,sampling,accuracy,precision,recall,f1_score,training_accuracy,validation_accuracy
XGBoost,Under-Sampling,0.6400977995110024,0.5871215502758061,0.6400977995110024,0.610624168789445,0.37198067632850246,0.6400977995110024
CatBoostC,Under-Sampling,0.5202933985330074,0.6954071506598201,0.5202933985330074,0.5789420190665412,0.4879227053140096,0.5202933985330074
MLPC-sgd,Under-Sampling,0.4356968215158924,0.6739252814384025,0.4356968215158924,0.5167196176640665,0.4057971014492754,0.4356968215158924
ExtraTreesClassifier,Under-Sampling,0.5677261613691932,0.7466939546285011,0.5677261613691932,0.6234122817232957,0.5652173913043478,0.5677261613691932
XGBoost,Over-Sampling,0.019559902200488997,0.7837063693019813,0.019559902200488997,0.014767866963510711,0.3403282216841539,0.019559902200488997
CatBoostC,Over-Sampling,0.6992665036674817,0.7588717427719135,0.6992665036674817,0.7222379983523248,0.7532956685499057,0.6992665036674817
MLPC-sgd,Over-Sampling,0.8283618581907091,0.8202322560693016,0.8283618581907091,0.8238097105427027,0.9495291902071563,0.8283618581907091
ExtraTreesClassifier,Over-Sampling,0.7975550122249389,0.8130472030199646,0.7975550122249389,0.7445224962018224,0.9868173258003766,0.7975550122249389
XGBoost,SMOTE,0.23374083129584353,0.05819951265725905,0.23374083129584353,0.09318732497031335,0.43938660209846647,0.23374083129584353
CatBoostC,SMOTE,0.7726161369193154,0.7484608430347525,0.7726161369193154,0.7488497970840255,0.8409470002690341,0.7726161369193154
MLPC-sgd,SMOTE,0.8273838630806846,0.8209420578880833,0.8273838630806846,0.8237890028579609,0.940973903685768,0.8273838630806846
ExtraTreesClassifier,SMOTE,0.7970660146699267,0.8126595086967541,0.7970660146699267,0.7440900031427411,0.9607210115684692,0.7970660146699267
