model,sampling,accuracy,precision,recall,f1_score,gram
ANN,Over-Sampling,0.832762836185819,0.8186743948202009,0.832762836185819,0.8231977430108036,char_bigram_results
ANN,Under-Sampling,0.5907090464547677,0.7507850816350707,0.5907090464547677,0.6466610992483158,char_bigram_results
ANN,SMOTE,0.8381418092909535,0.8322197506959407,0.8381418092909535,0.8349416830398603,char_bigram_results
ANN,Over-Sampling,0.8498777506112469,0.8364604652937419,0.8498777506112469,0.8380935742089052,char_uni+char_tri_results
ANN,Under-Sampling,0.3374083129584352,0.8326359177583689,0.3374083129584352,0.4678840404129424,char_uni+char_tri_results
ANN,SMOTE,0.8400977995110025,0.8262894650220034,0.8400977995110025,0.8303120423372095,char_uni+char_tri_results
ANN,Over-Sampling,0.7794621026894866,0.8047691817838237,0.7794621026894866,0.7114907571167757,Word_bigram_results
ANN,Under-Sampling,0.1168704156479217,0.7479695527435438,0.1168704156479217,0.1724588145070238,Word_bigram_results
ANN,SMOTE,0.8058679706601467,0.8087361375327263,0.8058679706601467,0.7673538360650546,Word_bigram_results
ANN,Over-Sampling,0.8430317848410758,0.8322631410391762,0.8430317848410758,0.8299164119715844,word_tri+char_tri_results
ANN,Under-Sampling,0.5794621026894865,0.7738664175416123,0.5794621026894865,0.645153292330622,word_tri+char_tri_results
ANN,SMOTE,0.845476772616137,0.8344012466142223,0.845476772616137,0.8361306925307984,word_tri+char_tri_results
ANN,Over-Sampling,0.8464547677261614,0.8392332722485116,0.8464547677261614,0.8277679128219991,word_uni+word_bi+char_bi+char_tri_results
ANN,Under-Sampling,0.671882640586797,0.7703851606764578,0.671882640586797,0.7133641525107149,word_uni+word_bi+char_bi+char_tri_results
ANN,SMOTE,0.8400977995110025,0.8339684259087331,0.8400977995110025,0.8201387710755482,word_uni+word_bi+char_bi+char_tri_results
ANN,Over-Sampling,0.8425427872860636,0.828981446381529,0.8425427872860636,0.8327474259683635,word_uni+word_bi+char_tri_results
ANN,Under-Sampling,0.5946210268948655,0.762501222775224,0.5946210268948655,0.6446412193205527,word_uni+word_bi+char_tri_results
ANN,SMOTE,0.8415647921760391,0.8300691840169273,0.8415647921760391,0.8332549286408036,word_uni+word_bi+char_tri_results
ANN,Over-Sampling,0.8317848410757946,0.8127380200726319,0.8317848410757946,0.8182473611892759,Word_Unigram_results
ANN,Under-Sampling,0.3369193154034229,0.7655743008386207,0.3369193154034229,0.4394202714755669,Word_Unigram_results
ANN,SMOTE,0.8215158924205379,0.8032550445298706,0.8215158924205379,0.8010021786009256,Word_Unigram_results
